Verisk Analytics;VRSK;Estados Unidos
Vertex Pharmaceuticals;VRTX;Estados Unidos
Viatris;VTRS;Estados Unidos
Vici Properties;VICI;Estados Unidos
Vistra Corp.;VST;Estados Unidos
Vulcan Materials Company;VMC;Estados Unidos
W. R. Berkley Corporation;WRB;Estados Unidos
W. W. Grainger;GWW;Estados Unidos
Wabtec;WAB;Estados Unidos
Walgreens Boots Alliance;WBA;Estados Unidos
Warner Bros. Discovery;WBD;Estados Unidos
Waste Management;WM;Estados Unidos
Waters Corporation;WAT;Estados Unidos
WEC Energy Group;WEC;Estados Unidos
Welltower;WELL;Estados Unidos
West Pharmaceutical Services;WST;Estados Unidos
Western Digital;WDC;Estados Unidos
Weyerhaeuser;WY;Estados Unidos
Williams Companies;WMB;Estados Unidos
Willis Towers Watson;WTW;Estados Unidos
Workday, Inc.;WDAY;Estados Unidos
Wynn Resorts;WYNN;Estados Unidos
Xcel Energy;XEL;Estados Unidos
Xylem Inc.;XYL;Estados Unidos
Yum! Brands;YUM;Estados Unidos
Zebra Technologies;ZBRA;Estados Unidos
Zimmer Biomet;ZBH;Estados Unidos
Zoetis;ZTS;Estados Unidos
Kyndryl Holdings, Inc.;KD;Estados Unidos
Top Build Corp.;BLD;Estados Unidos
Novo Nordisk A/S;NVO;Estados Unidos
Nasdaq Composite;^IXIC;Desconocido
Dow Jones Industrial Average;^DJI;Desconocido
FTSE 100;^FTSE;Desconocido
DAX;^GDAXI;Desconocido
CAC 40;^FCHI;Desconocido
Nikkei 225;^N225;Desconocido
Hang Seng Index;^HSI;Desconocido
BSE Sensex;^BSESN;Desconocido
ASX 200;^AXJO;Desconocido
Ibovespa;^BVSP;Desconocido
Euro Stoxx 50;^STOXX50E;Desconocido
KOSPI;^KS11;Desconocido
TSEC Weighted Index;^TWII;Desconocido
AEX Amsterdam;^AEX;Desconocido
MOEX Russia Index;IMOEX.ME;Desconocido
Swiss Market Index (SMI);^SSMI;Desconocido
TA-125;^TA125.TA;Desconocido
IPC Mexico;^MXX;Desconocido
Santiago IPSA;^CLX;Desconocido
Jakarta Composite Index;^JKSE;Desconocido
NZX 50;^NZ50;Desconocido
OMX Stockholm 30;^OMX;Desconocido
PSI 20;^PSI20;Desconocido
ISEQ Overall Index;^ISEQ;Desconocido
